TICKER;DATE;SIGMA;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE
MICEXINDEXCF;16.08.2012;0.002451116;1448.34;1458.59;1442.81;1451.87;;
MICEXINDEXCF;17.08.2012;-0.005234628;1451.85;1460.6;1443.92;1444.27;;
MICEXINDEXCF;20.08.2012;-0.010745913;1444.26;1448.34;1421.66;1428.75;;
MICEXINDEXCF;21.08.2012;0.018008749;1428.75;1459.44;1419.95;1454.48;;
MICEXINDEXCF;22.08.2012;-0.005252736;1454.48;1454.48;1436.56;1446.84;;
MICEXINDEXCF;23.08.2012;0.004603135;1446.81;1470.75;1446.27;1453.5;;
MICEXINDEXCF;24.08.2012;0.000399037;1453.5;1455.95;1439.9;1454.08;;
MICEXINDEXCF;27.08.2012;-0.003789338;1454.08;1460.02;1441.74;1448.57;;
MICEXINDEXCF;28.08.2012;0.001546353;1448.55;1458.06;1443.96;1450.81;;
MICEXINDEXCF;29.08.2012;-0.009422323;1450.81;1459.92;1437.09;1437.14;;
MICEXINDEXCF;30.08.2012;-0.005093449;1437.12;1441.57;1425.21;1429.82;;
MICEXINDEXCF;31.08.2012;-0.004832776;1429.82;1438.93;1417.79;1422.91;;
MICEXINDEXCF;03.09.2012;0.011525676;1422.9;1443.47;1421.07;1439.31;;
MICEXINDEXCF;04.09.2012;-0.001938429;1439.31;1444.18;1434.07;1436.52;;
MICEXINDEXCF;05.09.2012;-0.010372289;1436.46;1437.93;1420.32;1421.62;;
MICEXINDEXCF;06.09.2012;0.023529495;1421.62;1456.92;1420.73;1455.07;;
MICEXINDEXCF;07.09.2012;0.01340829;1455.07;1484.68;1454.88;1474.58;;
MICEXINDEXCF;10.09.2012;0.002882177;1474.58;1479.61;1464.9;1478.83;;
MICEXINDEXCF;11.09.2012;-0.000527444;1478.83;1479;1465.93;1478.05;;
MICEXINDEXCF;12.09.2012;0.000331518;1478.05;1483.98;1472.91;1478.54;;
MICEXINDEXCF;13.09.2012;-0.004017477;1478.51;1478.81;1468.33;1472.6;;
MICEXINDEXCF;14.09.2012;0.042632079;1472.6;1541.7;1472.59;1535.38;;
MICEXINDEXCF;17.09.2012;-0.003269549;1535.38;1539.58;1520.01;1530.36;;
MICEXINDEXCF;18.09.2012;-0.009840822;1530.37;1539.39;1513.75;1515.3;;
MICEXINDEXCF;19.09.2012;-0.010677754;1515.3;1527.86;1489.74;1499.12;;
MICEXINDEXCF;20.09.2012;0.000106729;1499.15;1502.49;1480.82;1499.28;;
MICEXINDEXCF;21.09.2012;-0.001754175;1499.29;1511.05;1495.24;1496.65;;
MICEXINDEXCF;24.09.2012;-0.004496709;1496.63;1496.63;1480.01;1489.92;;
MICEXINDEXCF;25.09.2012;-0.004906304;1489.92;1499.26;1480.79;1482.61;;
MICEXINDEXCF;26.09.2012;-0.025111122;1482.61;1483.35;1442.3;1445.38;;
MICEXINDEXCF;27.09.2012;0.005334237;1445.39;1459.55;1438.44;1453.09;;
MICEXINDEXCF;28.09.2012;0.003557935;1453.11;1468.5;1450.7;1458.26;;
MICEXINDEXCF;01.10.2012;0.021909673;1458.3;1491.3;1452.53;1490.21;;
MICEXINDEXCF;02.10.2012;-0.003073392;1490.21;1492.01;1478.56;1485.63;;
MICEXINDEXCF;03.10.2012;-0.008838001;1485.61;1485.61;1469.8;1472.5;;
MICEXINDEXCF;04.10.2012;-0.010702886;1472.5;1478.52;1451.95;1456.74;;
MICEXINDEXCF;05.10.2012;0.014319645;1456.71;1488.57;1454.87;1477.6;;
MICEXINDEXCF;08.10.2012;-0.002700325;1477.6;1477.6;1459.92;1473.61;;
MICEXINDEXCF;09.10.2012;-0.000454666;1473.61;1480.97;1469.72;1472.94;;
MICEXINDEXCF;10.10.2012;-0.008153761;1472.94;1472.94;1458.19;1460.93;;
MICEXINDEXCF;11.10.2012;0.001499045;1460.91;1468.62;1453.61;1463.12;;
MICEXINDEXCF;12.10.2012;-0.011694188;1463.15;1463.96;1440.65;1446.01;;
MICEXINDEXCF;15.10.2012;-0.001791136;1446.01;1456.25;1440.53;1443.42;;
MICEXINDEXCF;16.10.2012;0.008763908;1443.42;1456.07;1439.79;1456.07;;
MICEXINDEXCF;17.10.2012;0.012520002;1456.07;1478.12;1454.02;1474.3;;
MICEXINDEXCF;18.10.2012;0.000657939;1474.29;1486.88;1467.4;1475.27;;
MICEXINDEXCF;19.10.2012;-0.010309977;1475.28;1476.77;1458.57;1460.06;;
MICEXINDEXCF;22.10.2012;0.010177664;1460.04;1476.09;1451.6;1474.92;;
MICEXINDEXCF;23.10.2012;-0.013295636;1474.91;1475.48;1451.11;1455.31;;
MICEXINDEXCF;24.10.2012;-0.002542414;1455.31;1463.09;1437.39;1451.61;;
MICEXINDEXCF;25.10.2012;-0.003864674;1451.61;1459.73;1444.51;1446;;
MICEXINDEXCF;26.10.2012;-0.008630705;1446;1446.22;1424.5;1433.52;;
MICEXINDEXCF;29.10.2012;-0.001130085;1433.51;1434.69;1422.34;1431.9;;
MICEXINDEXCF;30.10.2012;-0.007088484;1431.9;1439.39;1419.66;1421.75;;
MICEXINDEXCF;31.10.2012;0.002778266;1421.74;1436.06;1420.52;1425.7;;
MICEXINDEXCF;01.11.2012;0.003654345;1425.71;1432.39;1407.46;1430.91;;
MICEXINDEXCF;02.11.2012;0.006527315;1430.92;1444.38;1428.78;1440.25;;
MICEXINDEXCF;06.11.2012;0.004311751;1440.25;1450.83;1436.61;1446.46;;
MICEXINDEXCF;07.11.2012;-0.015970023;1446.39;1453.47;1422;1423.36;;
MICEXINDEXCF;08.11.2012;-0.010938905;1423.36;1424.31;1395.46;1407.79;;
MICEXINDEXCF;09.11.2012;-0.004595856;1407.79;1408.28;1392.8;1401.32;;
MICEXINDEXCF;12.11.2012;0.004695573;1401.19;1410.83;1394.49;1407.9;;
MICEXINDEXCF;13.11.2012;-0.024199162;1407.9;1409.03;1370.36;1373.83;;
MICEXINDEXCF;14.11.2012;-0.001193743;1373.84;1382.07;1360.07;1372.19;;
MICEXINDEXCF;15.11.2012;0.010246394;1372.19;1387.67;1364.36;1386.25;;
MICEXINDEXCF;16.11.2012;-0.00186835;1386.25;1388.9;1375.06;1383.66;;
MICEXINDEXCF;19.11.2012;0.010775769;1383.65;1400.76;1383.09;1398.57;;
MICEXINDEXCF;20.11.2012;-0.001558735;1398.57;1402.73;1389.47;1396.39;;
MICEXINDEXCF;21.11.2012;0.006667192;1396.39;1408.13;1389.06;1405.7;;
MICEXINDEXCF;22.11.2012;-0.002176851;1405.7;1411.91;1401.57;1402.64;;
MICEXINDEXCF;23.11.2012;0.007493013;1402.64;1414.05;1401.44;1413.15;;
MICEXINDEXCF;26.11.2012;-0.006517355;1413.15;1417.53;1399.61;1403.94;;
MICEXINDEXCF;27.11.2012;-0.00646039;1403.94;1412.86;1392.28;1394.87;;
MICEXINDEXCF;28.11.2012;-0.009986594;1394.85;1395.54;1379.46;1380.94;;
MICEXINDEXCF;29.11.2012;0.005336944;1380.94;1396.37;1378.7;1388.31;;
MICEXINDEXCF;30.11.2012;0.012720502;1388.31;1411.21;1384.18;1405.97;;
MICEXINDEXCF;03.12.2012;0.011380044;1405.97;1422.2;1403.7;1421.97;;
MICEXINDEXCF;04.12.2012;-0.007130952;1421.94;1421.94;1407.84;1411.83;;
MICEXINDEXCF;05.12.2012;0.017098376;1411.84;1441.45;1411.83;1435.97;;
MICEXINDEXCF;06.12.2012;0.001789731;1435.96;1449.44;1434.35;1438.54;;
MICEXINDEXCF;07.12.2012;0.002036787;1438.54;1443.97;1427.85;1441.47;;
MICEXINDEXCF;10.12.2012;0.004335852;1441.47;1455.2;1438.51;1447.72;;
MICEXINDEXCF;11.12.2012;0.000490426;1447.72;1453.18;1441.68;1448.43;;
MICEXINDEXCF;12.12.2012;0.012482481;1448.36;1469.45;1448.33;1466.51;;
MICEXINDEXCF;13.12.2012;-0.002482083;1466.5;1472.01;1454.64;1462.87;;
MICEXINDEXCF;14.12.2012;0.002242168;1462.87;1471.2;1460.51;1466.15;;
MICEXINDEXCF;17.12.2012;0.002305358;1466.16;1470.27;1458.44;1469.53;;
MICEXINDEXCF;18.12.2012;0.008172681;1469.53;1486.57;1467.26;1481.54;;
MICEXINDEXCF;19.12.2012;-0.001829178;1481.54;1487.46;1477.03;1478.83;;
MICEXINDEXCF;20.12.2012;0.006349614;1478.81;1488.6;1468.9;1488.22;;
